                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2922,                 2.3799,                 1.4664,                0.58878,                0.35629,                0.33334,                0.18178,                 1.5857,                 1.7564,                 1.6798,             0.00033095,             0.00033095,             0.00033095
                      2,                 1.1799,                 1.1943,                 1.3856,                0.77484,                0.32758,                0.30307,                0.14936,                 1.8064,                  1.821,                 1.8685,               0.000661,               0.000661,               0.000661
                      3,                 1.2035,                 1.1684,                 1.4029,                 0.8948,                0.24232,                0.38417,                0.19148,                 1.8114,                 1.7093,                 1.9042,             0.00098774,             0.00098774,             0.00098774
                      4,                 1.1972,                 1.1456,                 1.4016,                0.56589,                0.42626,                 0.4351,                0.21628,                 1.7845,                  1.367,                 1.8345,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.1658,                 1.0719,                 1.3786,                0.86459,                0.26178,                0.35455,                0.16624,                 1.8174,                 1.5573,                 1.8412,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.1189,                 1.0253,                 1.3512,                 0.6307,                0.39263,                0.43938,                0.25707,                 1.5972,                 1.2365,                 1.7186,              0.0009802,              0.0009802,              0.0009802
                      7,                 1.0995,                0.99397,                 1.3329,                0.82173,                 0.4485,                0.54493,                0.23955,                 1.6656,                 1.2249,                  1.709,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.0469,                0.94714,                  1.307,                0.85244,                0.29465,                0.39934,                0.20387,                 1.5864,                  1.435,                 1.7125,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.0335,                0.92837,                 1.2895,                0.53232,                0.50746,                0.50552,                0.23622,                 1.6004,                 1.1861,                 1.7024,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.0136,                 0.8994,                 1.2969,                0.42735,                0.40734,                0.40087,                0.19539,                 1.6696,                 1.1862,                 1.7627,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.0029,                0.88618,                 1.2742,                0.87027,                0.43094,                0.53489,                 0.2537,                 1.5766,                 1.2202,                 1.6096,             0.00095545,             0.00095545,             0.00095545
                     12,                0.99712,                0.87186,                 1.2733,                0.81381,                0.39135,                0.48218,                0.24374,                 1.5713,                  1.149,                 1.6403,              0.0009505,              0.0009505,              0.0009505
                     13,                0.96834,                 0.8118,                 1.2484,                0.91258,                0.41804,                0.54263,                0.29544,                  1.563,                 1.1018,                 1.6587,             0.00094555,             0.00094555,             0.00094555
                     14,                0.96222,                0.82722,                 1.2456,                 0.6636,                0.43688,                 0.5269,                0.27664,                 1.6003,                 1.1155,                 1.6494,              0.0009406,              0.0009406,              0.0009406
                     15,                0.94206,                0.78736,                 1.2293,                0.73729,                0.49523,                0.58073,                0.30148,                 1.5257,                 1.0267,                 1.6125,             0.00093565,             0.00093565,             0.00093565
                     16,                0.94277,                 0.7701,                 1.2313,                0.65972,                 0.5886,                0.58237,                0.31566,                 1.5563,                0.96921,                 1.6213,              0.0009307,              0.0009307,              0.0009307
                     17,                0.90913,                0.74306,                 1.2162,                0.43961,                0.47596,                0.46524,                0.23388,                 1.4937,                 1.1263,                 1.5639,             0.00092575,             0.00092575,             0.00092575
                     18,                0.91633,                 0.7447,                 1.2148,                0.82215,                0.52826,                0.58307,                0.35344,                 1.4577,                 1.0533,                 1.5635,              0.0009208,              0.0009208,              0.0009208
                     19,                0.89912,                0.72915,                 1.2087,                0.84215,                0.46789,                 0.5486,                0.27767,                  1.457,                 1.0033,                 1.5555,             0.00091585,             0.00091585,             0.00091585
                     20,                0.89623,                0.71757,                 1.1901,                0.58417,                0.60612,                0.61485,                0.36102,                 1.4078,                0.96282,                 1.5211,              0.0009109,              0.0009109,              0.0009109
                     21,                0.88608,                0.69322,                 1.1899,                0.72602,                0.52365,                0.56967,                0.27609,                 1.4884,                0.94937,                 1.6158,             0.00090595,             0.00090595,             0.00090595
                     22,                0.88047,                0.69009,                 1.1889,                0.62868,                 0.5093,                0.59326,                0.32151,                 1.5308,                0.94867,                 1.6388,               0.000901,               0.000901,               0.000901
                     23,                0.88093,                0.67594,                 1.1862,                0.50232,                0.64444,                0.56028,                0.26905,                 1.4872,                 1.0451,                 1.5689,             0.00089605,             0.00089605,             0.00089605
                     24,                0.86869,                0.67466,                 1.1853,                0.72969,                0.48599,                 0.5016,                0.27716,                  1.419,                0.90849,                 1.5278,              0.0008911,              0.0008911,              0.0008911
                     25,                0.85898,                0.66251,                  1.174,                0.65011,                0.57322,                0.62362,                0.36484,                 1.4902,                0.91483,                 1.5914,             0.00088615,             0.00088615,             0.00088615
                     26,                0.84623,                0.65038,                 1.1688,                0.65925,                0.58343,                  0.555,                0.30394,                 1.5237,                0.94059,                 1.6033,              0.0008812,              0.0008812,              0.0008812
                     27,                0.84463,                0.65258,                 1.1635,                0.49339,                0.56715,                0.50572,                0.27049,                 1.4665,                0.93122,                 1.5676,             0.00087625,             0.00087625,             0.00087625
                     28,                0.85023,                0.65017,                 1.1637,                0.72171,                0.63542,                0.64039,                 0.3745,                  1.494,                0.84167,                 1.5554,              0.0008713,              0.0008713,              0.0008713
                     29,                0.84294,                0.63757,                 1.1655,                0.62367,                0.64239,                0.56465,                 0.2927,                 1.4611,                0.87147,                 1.5063,             0.00086635,             0.00086635,             0.00086635
                     30,                0.83599,                0.62992,                 1.1599,                0.65116,                0.53075,                0.54831,                0.30254,                 1.4977,                0.88749,                 1.5553,              0.0008614,              0.0008614,              0.0008614
                     31,                0.82934,                0.62252,                 1.1495,                0.40428,                0.53135,                0.47997,                0.27144,                 1.4224,                0.88075,                 1.4835,             0.00085645,             0.00085645,             0.00085645
                     32,                0.80672,                0.60926,                 1.1454,                0.61612,                0.58747,                0.57035,                0.29506,                 1.4836,                 0.9407,                 1.5551,              0.0008515,              0.0008515,              0.0008515
                     33,                 0.8134,                 0.5991,                 1.1441,                0.74824,                0.53425,                0.56325,                 0.3207,                 1.4105,                0.87971,                  1.515,             0.00084655,             0.00084655,             0.00084655
                     34,                0.78705,                0.58124,                 1.1221,                0.74484,                0.54798,                0.59707,                0.34492,                 1.3969,                0.83121,                 1.4967,              0.0008416,              0.0008416,              0.0008416
                     35,                0.79434,                0.58367,                 1.1305,                0.65584,                0.48226,                0.52717,                0.30718,                 1.4487,                 0.8787,                 1.5262,             0.00083665,             0.00083665,             0.00083665
                     36,                0.78149,                0.57067,                 1.1294,                0.72215,                0.57098,                0.66913,                0.34919,                 1.4874,                0.86152,                 1.5734,              0.0008317,              0.0008317,              0.0008317
                     37,                0.80168,                0.57339,                 1.1331,                0.61012,                0.64738,                0.64235,                0.31848,                 1.5188,                0.86071,                 1.5976,             0.00082675,             0.00082675,             0.00082675
